0x004BB820 "Script_SetRaidRosterSelection"
0x004BB890 "Script_GetRaidRosterSelection"
0x004BB8C0 "Script_IsRaidLeader"
0x004BB910 "Script_IsRaidOfficer"
0x004BB990 "Script_SetRaidSubgroup"
0x004BBB00 "Script_SwapRaidSubgroup"
0x004BBC90 "Script_ConvertToRaid"
0x004BBD20 "Script_PromoteToAssistant"
0x004BBDF0 "Script_DemoteAssistant"
0x004BBEC0 "Script_SetRaidTarget"
0x004BB4B0 "Script_GetRaidTargetIndex"
0x004BC080 "Script_DoReadyCheck"
0x004BC090 "Script_ConfirmReadyCheck"
0x004BC120 "Script_CheckReadyCheckTime"
0x004BDC20 "Script_PetHasActionBar"
0x004BDC50 "Script_GetPetActionInfo"
0x004BDFA0 "Script_GetPetActionCooldown"
0x004BE0B0 "Script_GetPetActionsUsable"
0x004BE0E0 "Script_IsPetAttackActive"
0x004BE180 "Script_PickupPetAction"
0x004BE290 "Script_TogglePetAutocast"
0x004BE330 "Script_CastPetAction"
0x004BE450 "Script_PetPassiveMode"
0x004BE460 "Script_PetDefensiveMode"
0x004BE470 "Script_PetAggressiveMode"
0x004BE480 "Script_PetWait"
0x004BE490 "Script_PetFollow"
0x004BE4A0 "Script_PetAttack"
0x004BE4B0 "Script_PetStopAttack"
0x004BE4C0 "Script_PetAbandon"
0x004BE4D0 "Script_PetDismiss"
0x004BE4E0 "Script_PetRename"
0x004BE500 "Script_PetCanBeAbandoned"
0x004BE580 "Script_PetCanBeRenamed"
0x004BE600 "Script_GetPetTimeRemaining"
0x004BE670 "Script_HasPetUI"
0x004BE700 "Script_GetPetLoyalty"
0x004BE790 "Script_GetPetTrainingPoints"
0x004BE840 "Script_GetPetExperience"
0x004BE900 "Script_GetPetHappiness"
0x004BEA10 "Script_GetPetFoodTypes"
0x004BEB10 "Script_GetPetIcon"
0x004BFDC0 "Script_CloseTrade"
0x004BFDF0 "Script_ClickTradeButton"
0x004C0080 "Script_ClickTargetTradeButton"
0x004C00F0 "Script_GetTradeTargetItemInfo"
0x004C0360 "Script_GetTradeTargetItemLink"
0x004C0450 "Script_GetTradePlayerItemInfo"
0x004C0650 "Script_GetTradePlayerItemLink"
0x004C06E0 "Script_AcceptTrade"
0x004C06F0 "Script_CancelTradeAccept"
0x004C0700 "Script_GetPlayerTradeMoney"
0x004C0750 "Script_GetTargetTradeMoney"
0x004C0790 "Script_PickupTradeMoney"
0x004C07F0 "Script_AddTradeMoney"
0x004C0820 "Script_SetTradeMoney"
0x004C2B40 "Script_SetLootPortrait"
0x004C2C30 "Script_GetNumLootItems"
0x004C2C60 "Script_GetLootSlotInfo"
0x004C2D20 "Script_GetLootSlotLink"
0x004C2D90 "Script_LootSlotIsItem"
0x004C2E00 "Script_LootSlotIsCoin"
0x004C2E70 "Script_LootSlot"
0x004C2EC0 "Script_CloseLoot"
0x004C2EE0 "Script_IsFishingLoot"
0x004C2F10 "Script_GetMasterLootCandidate"
0x004C2FD0 "Script_GiveMasterLoot"
0x004C3050 "Script_GetLootRollItemInfo"
0x004C31F0 "Script_GetLootRollItemLink"
0x004C32D0 "Script_GetLootRollTimeLeft"
0x004C3370 "Script_RollOnLoot"
0x004C33E0 "Script_ConfirmLootRoll"
0x004C4210 "Script_CloseLottery"
0x004C4220 "Script_GetLastLotteryNumbers"
0x004C4290 "Script_SubmitNumbers"
0x004C43D0 "Script_IsVendorActive"
0x004C4400 "Script_BuyRandomPicks"
0x004C44B0 "Script_GetNumLotteryPrizes"
0x004C44E0 "Script_GetLotteryPrizeInfo"
0x004C45D0 "Script_GetJackpotAmount"
0x004C45F0 "Script_GetMoneyPrizes"
0x004C4630 "Script_GetNextDrawTime"
0x004C4660 "Script_GetNumPastDrawResults"
0x004C4690 "Script_GetPastDrawResult"
0x004C4D50 "Script_GetMinigameType"
0x004C4D80 "Script_MakeMinigameMove"
0x004C4DF0 "Script_GetMinigameState"
0x004C5A40 "Script_GetNumWorldStateUI"
0x004C5A70 "Script_GetWorldStateUIInfo"
0x004C81B0 "Script_GetInventorySlotInfo"
0x004C82A0 "Script_GetInventoryItemTexture"
0x004C8590 "Script_GetInventoryItemBroken"
0x004C8680 "Script_GetInventoryItemCount"
0x004C88D0 "Script_GetInventoryItemQuality"
0x004C8A60 "Script_GetInventoryItemCooldown"
0x004C8C10 "Script_GetInventoryItemLink"
0x004C8150 "Script_KeyRingButtonIDToInvSlotID"
0x004C8DA0 "Script_PickupInventoryItem"
0x004C8DE0 "Script_UseInventoryItem"
0x004C8E60 "Script_IsInventoryItemLocked"
0x004C8F00 "Script_PutItemInBag"
0x004C8F70 "Script_PutItemInBackpack"
